assign-to(p5236, r1849)
assign-to(p5283, r10950)
assign-to(p5298, r10925)
assign-to(p10599, r8551)
assign-to(p5261, r9185)
assign-to(p5268, r10318)
assign-to(p6596, r3994)
assign-to(p5272, r1467)
assign-to(p5277, r10187)
assign-to(p10590, r2599)
assign-to(p10577, r5535)
assign-to(p10571, r2979)
assign-to(p10581, r3123)
assign-to(p11896, r4571)
assign-to(p10569, r9599)
assign-to(p10542, r4631)
assign-to(p10534, r4500)
assign-to(p11863, r5472)
assign-to(p11859, r6789)
assign-to(p11844, r4006)
assign-to(p10500, r1506)
assign-to(p11832, r10907)
assign-to(p10610, r6430)
assign-to(p11948, r320)
assign-to(p10618, r10083)
assign-to(p10615, r12891)
assign-to(p10612, r10159)
assign-to(p11932, r1854)
assign-to(p11934, r9304)
assign-to(p11923, r11672)
assign-to(p11920, r9677)
assign-to(p11913, r679)
assign-to(p11901, r3630)
assign-to(p6500, r10417)
assign-to(p7806, r13782)
assign-to(p7802, r3726)
assign-to(p7818, r8848)
assign-to(p6530, r13264)
assign-to(p110, r12866)
assign-to(p119, r3501)
assign-to(p7870, r6113)
assign-to(p101, r13224)
assign-to(p7876, r2077)
assign-to(p141, r5699)
assign-to(p134, r6306)
assign-to(p6514, r7905)
assign-to(p7844, r13509)
assign-to(p122, r7594)
assign-to(p126, r2766)
assign-to(p6528, r346)
assign-to(p160, r8963)
assign-to(p145, r5469)
assign-to(p184, r701)
assign-to(p19095, r3867)
assign-to(p4263, r2417)
assign-to(p5593, r8269)
assign-to(p4261, r5178)
assign-to(p5598, r1651)
assign-to(p174, r7719)
assign-to(p5595, r4342)
assign-to(p5599, r11353)
assign-to(p192, r10048)
assign-to(p197, r1823)
assign-to(p19068, r10194)
assign-to(p4296, r6794)
assign-to(p19043, r14985)
assign-to(p10696, r10298)
assign-to(p10692, r2010)
assign-to(p10687, r2051)
assign-to(p19029, r10523)
assign-to(p19013, r5086)
assign-to(p10660, r167)
assign-to(p11991, r9400)
assign-to(p10668, r3986)
assign-to(p11996, r14972)
assign-to(p11997, r9778)
assign-to(p10655, r6130)
assign-to(p11987, r14426)
assign-to(p10650, r5680)
assign-to(p11970, r8338)
assign-to(p11972, r4488)
assign-to(p10647, r4120)
assign-to(p10627, r11400)
assign-to(p10623, r8194)
assign-to(p10738, r6966)
assign-to(p10728, r12888)
assign-to(p10718, r244)
assign-to(p10716, r7323)
assign-to(p10712, r14878)
assign-to(p10719, r5120)
assign-to(p10706, r5313)
assign-to(p10700, r5779)
assign-to(p13, r12076)
assign-to(p27, r1494)
assign-to(p40, r2414)
assign-to(p46, r8025)
assign-to(p6854, r4733)
assign-to(p62, r10258)
assign-to(p4205, r8843)
assign-to(p68, r8245)
assign-to(p72, r1371)
assign-to(p6838, r2835)
assign-to(p5505, r6607)
assign-to(p218, r14370)
assign-to(p5508, r9986)
assign-to(p6844, r14560)
assign-to(p90, r11711)
assign-to(p6892, r13529)
assign-to(p93, r6463)
assign-to(p240, r14963)
assign-to(p6899, r3862)
assign-to(p4236, r6645)
assign-to(p235, r7611)
assign-to(p239, r12365)
assign-to(p6872, r12026)
assign-to(p4216, r4097)
assign-to(p6877, r7576)
assign-to(p4213, r3162)
assign-to(p5544, r3938)
assign-to(p246, r8588)
assign-to(p5484, r12894)
assign-to(p4156, r3387)
assign-to(p282, r1827)
assign-to(p278, r1038)
assign-to(p4159, r7554)
assign-to(p5460, r14512)
assign-to(p4135, r10856)
assign-to(p4139, r3595)
assign-to(p5468, r1138)
assign-to(p6799, r8169)
assign-to(p290, r11119)
assign-to(p294, r3564)
assign-to(p5475, r7276)
assign-to(p4149, r353)
assign-to(p286, r8949)
assign-to(p19188, r3737)
assign-to(p19186, r13573)
assign-to(p4176, r226)
assign-to(p4177, r5003)
assign-to(p19177, r2065)
assign-to(p19161, r10827)
assign-to(p19155, r6050)
assign-to(p10793, r13503)
assign-to(p19126, r10839)
assign-to(p10772, r3571)
assign-to(p19109, r10031)
assign-to(p10768, r8770)
assign-to(p19102, r10495)
assign-to(p10743, r2191)
assign-to(p10853, r12295)
assign-to(p10831, r1673)
assign-to(p10839, r4929)
assign-to(p10826, r5753)
assign-to(p10824, r3663)
assign-to(p10829, r12396)
assign-to(p10818, r8128)
assign-to(p10805, r12069)
assign-to(p6708, r5750)
assign-to(p6730, r566)
assign-to(p6736, r1991)
assign-to(p318, r11784)
assign-to(p5410, r2896)
assign-to(p6741, r13515)
assign-to(p6740, r10073)
assign-to(p6718, r13357)
assign-to(p6721, r6079)
assign-to(p329, r130)
assign-to(p6729, r4003)
assign-to(p6771, r7005)
assign-to(p4110, r7624)
assign-to(p6777, r5943)
assign-to(p5450, r14032)
assign-to(p6781, r8656)
assign-to(p4123, r11071)
assign-to(p4128, r7201)
assign-to(p5458, r3907)
assign-to(p341, r10716)
assign-to(p380, r12935)
assign-to(p6755, r6567)
assign-to(p378, r5692)
assign-to(p4101, r12518)
assign-to(p4100, r6635)
assign-to(p398, r5901)
assign-to(p397, r7129)
assign-to(p3199, r659)
assign-to(p3198, r14130)
assign-to(p19283, r9968)
assign-to(p19272, r14540)
assign-to(p19262, r12171)
assign-to(p19256, r1153)
assign-to(p19245, r4865)
assign-to(p19242, r3195)
assign-to(p19249, r7014)
assign-to(p19247, r2917)
assign-to(p10895, r141)
assign-to(p10886, r830)
assign-to(p10883, r12191)
assign-to(p10872, r6010)
assign-to(p10871, r14470)
assign-to(p10865, r1895)
assign-to(p10978, r14611)
assign-to(p10977, r11638)
assign-to(p10957, r13468)
assign-to(p10954, r11781)
assign-to(p5723, r13604)
assign-to(p5737, r5264)
assign-to(p5735, r1096)
assign-to(p10912, r11986)
assign-to(p410, r9736)
assign-to(p5709, r7775)
assign-to(p415, r6708)
assign-to(p10904, r14055)
assign-to(p5712, r10926)
assign-to(p5716, r10186)
assign-to(p5714, r12193)
assign-to(p404, r8398)
assign-to(p4435, r14144)
assign-to(p3103, r9040)
assign-to(p5764, r12562)
assign-to(p3109, r545)
assign-to(p433, r9871)
assign-to(p4442, r12694)
assign-to(p3110, r1036)
assign-to(p3117, r12394)
assign-to(p426, r3196)
assign-to(p460, r8987)
assign-to(p5742, r3220)
assign-to(p5750, r3094)
assign-to(p443, r7404)
assign-to(p441, r10395)
assign-to(p449, r9074)
assign-to(p448, r84)
assign-to(p483, r3165)
assign-to(p3144, r14497)
assign-to(p3148, r3835)
assign-to(p3146, r6129)
assign-to(p4482, r1415)
assign-to(p4483, r9833)
assign-to(p472, r12111)
assign-to(p3153, r1903)
assign-to(p4485, r1585)
assign-to(p465, r3620)
assign-to(p4489, r10414)
assign-to(p5781, r3614)
assign-to(p5780, r6565)
assign-to(p5783, r6967)
assign-to(p499, r287)
assign-to(p490, r3679)
assign-to(p3133, r2618)
assign-to(p4465, r11329)
assign-to(p3135, r12350)
assign-to(p3136, r9103)
assign-to(p3060, r12616)
assign-to(p3072, r4617)
assign-to(p3076, r676)
assign-to(p3042, r13438)
assign-to(p4370, r6849)
assign-to(p4376, r11862)
assign-to(p4377, r14651)
assign-to(p3048, r7321)
assign-to(p4380, r11608)
assign-to(p3052, r13774)
assign-to(p3053, r14607)
assign-to(p18093, r9334)
assign-to(p3085, r10359)
assign-to(p3087, r3591)
assign-to(p18087, r6659)
assign-to(p18084, r5115)
assign-to(p18077, r14973)
assign-to(p19392, r4651)
assign-to(p19382, r134)
assign-to(p19378, r9820)
assign-to(p19369, r13345)
assign-to(p19367, r4572)
assign-to(p19350, r2290)
assign-to(p18009, r14088)
assign-to(p18011, r2228)
assign-to(p18014, r13555)
assign-to(p10992, r7606)
assign-to(p19335, r2153)
assign-to(p19427, r11261)
assign-to(p19421, r4906)
assign-to(p19404, r2920)
assign-to(p19413, r4616)
assign-to(p5603, r471)
assign-to(p5616, r2681)
assign-to(p6911, r4998)
assign-to(p6914, r3301)
assign-to(p6913, r6146)
assign-to(p6920, r8122)
assign-to(p6925, r7338)
assign-to(p6923, r3539)
assign-to(p6929, r7640)
assign-to(p4310, r14235)
assign-to(p6973, r9301)
assign-to(p552, r8098)
assign-to(p6976, r8934)
assign-to(p4312, r192)
assign-to(p554, r5433)
assign-to(p559, r14552)
assign-to(p6984, r13954)
assign-to(p6982, r1647)
assign-to(p5650, r9135)
assign-to(p4329, r2734)
assign-to(p544, r14943)
assign-to(p575, r7167)
assign-to(p5623, r6090)
assign-to(p573, r11631)
assign-to(p5631, r3114)
assign-to(p5632, r11683)
assign-to(p4305, r120)
assign-to(p4355, r3381)
assign-to(p4352, r12899)
assign-to(p3022, r4908)
assign-to(p596, r14173)
assign-to(p5687, r11059)
assign-to(p586, r12072)
assign-to(p6991, r11700)
assign-to(p6995, r8777)
assign-to(p6994, r8850)
assign-to(p4336, r5051)
assign-to(p5668, r6880)
assign-to(p4334, r7127)
assign-to(p6996, r1165)
assign-to(p5669, r4017)
assign-to(p3013, r3339)
assign-to(p5674, r4649)
assign-to(p3014, r5664)
assign-to(p2079, r14480)
assign-to(p2089, r2847)
assign-to(p18198, r6908)
assign-to(p18177, r4588)
assign-to(p18172, r3826)
assign-to(p19491, r14761)
assign-to(p19474, r13369)
assign-to(p19463, r10829)
assign-to(p18117, r13558)
assign-to(p18127, r14862)
assign-to(p19450, r7344)
assign-to(p18111, r3145)
assign-to(p19447, r10908)
assign-to(p18222, r11429)
assign-to(p19540, r3861)
assign-to(p4605, r11908)
assign-to(p19525, r6684)
assign-to(p19533, r10852)
assign-to(p614, r10195)
assign-to(p5904, r254)
assign-to(p618, r9042)
